Sector,CEO_Gender,Size,Security_Invest,Security_Breach_Att,Succ_Sec_Breaches,Sec_Rating,CEO_Sec_Exp,LOT_in_Business,Stock_Market
Banking,Female,Small,27,68,28,Medium,High,15,No
Health Care,Male,Medium,159,103,36,Medium,Medium,23,Yes
Banking,Female,Large,31,38,10,Medium,High,11,Yes
Health Care,Male,Medium,61,37,9,Medium,Medium,2,Yes
Health Care,Male,Large,33,17,5,High,High,3,Yes
Health Care,Male,Large,65,39,16,Low,Low,13,Yes
Health Care,Male,Large,44,35,18,Low,Medium,6,Yes
Hospitality,Female,Medium,110,30,13,Low,High,3,Yes
Banking,Female,Small,44,31,4,High,Low,9,Yes
Hospitality,Male,Large,68,65,21,High,Low,19,No
Hospitality,Female,Large,220,24,2,High,High,4,No
Banking,Female,Medium,57,28,6,Medium,High,8,Yes
Hospitality,Male,Small,87,35,11,Medium,High,7,No
Health Care,Male,Large,106,25,7,High,Medium,2,Yes
Banking,Male,Small,14,13,3,Low,Medium,1,Yes
Health Care,Male,Small,35,72,27,Medium,Low,18,Yes
Health Care,Male,Large,275,63,20,Medium,Medium,22,No
Health Care,Male,Medium,23,66,30,Medium,Medium,19,No
Health Care,Male,Medium,66,24,9,Medium,Low,5,No
Hospitality,Female,Large,42,23,7,Low,Medium,3,Yes
Health Care,Female,Medium,35,98,41,Low,Medium,23,Yes
Health Care,Male,Medium,18,68,25,Medium,Medium,18,Yes
Banking,Male,Small,22,44,8,High,Medium,14,No
Hospitality,Male,Small,49,49,21,Low,High,4,No
Health Care,Male,Large,32,36,18,Medium,Medium,9,Yes
Banking,Male,Medium,28,43,21,Low,Medium,12,Yes
Hospitality,Male,Small,36,34,13,Medium,Medium,7,Yes
Hospitality,Male,Small,86,30,16,Medium,Low,8,Yes
Banking,Male,Medium,24,73,15,High,Medium,12,Yes
Hospitality,Male,Medium,21,46,11,High,High,12,No
Health Care,Male,Medium,23,22,6,Medium,Medium,3,No
Hospitality,Female,Medium,24,19,6,Low,High,4,No
Banking,Female,Small,37,63,27,Low,Medium,13,Yes
Banking,Male,Medium,230,60,13,High,Low,3,Yes
Hospitality,Male,Large,76,87,19,High,Medium,20,Yes
Health Care,Male,Small,19,47,20,Low,High,15,Yes
Banking,Male,Medium,60,75,31,Low,Medium,19,No
Hospitality,Male,Medium,21,17,6,Medium,High,3,No
Banking,Male,Large,31,10,1,Low,High,1,No
Banking,Female,Small,35,19,7,High,Low,1,Yes
Health Care,Male,Large,44,41,16,Medium,Low,7,Yes
Health Care,Female,Medium,32,16,6,Medium,Medium,3,No
Banking,Male,Large,46,28,8,Medium,Low,3,No
Hospitality,Male,Small,74,42,19,Low,Medium,3,Yes
Banking,Male,Large,55,28,9,Medium,High,7,Yes
Hospitality,Male,Large,67,32,8,High,Medium,7,Yes
Hospitality,Male,Medium,24,29,6,Medium,Medium,5,Yes
Banking,Male,Medium,18,38,13,Medium,Medium,2,Yes
Banking,Male,Medium,38,84,21,High,Low,22,Yes
Hospitality,Male,Small,62,41,22,Low,High,5,Yes
Health Care,Male,Large,57,29,7,Medium,High,2,Yes
Health Care,Female,Small,49,23,4,Medium,Medium,1,No
Banking,Male,Small,12,22,8,High,Low,2,Yes
Health Care,Male,Medium,24,21,4,Low,High,3,Yes
Hospitality,Male,Small,15,37,13,High,Medium,8,Yes
Hospitality,Female,Large,62,98,47,Low,Low,25,Yes
Health Care,Male,Large,170,27,13,Low,High,3,Yes
Health Care,Male,Medium,30,103,21,High,High,13,Yes
Health Care,Male,Large,87,59,20,Medium,Medium,20,Yes
Hospitality,Male,Large,172,25,6,High,Medium,4,Yes
Hospitality,Male,Small,23,17,6,Medium,High,3,Yes
Health Care,Female,Large,58,28,11,Medium,High,6,Yes
Banking,Female,Small,14,77,17,High,Medium,19,No
Hospitality,Male,Medium,29,35,15,Medium,Medium,1,Yes
Hospitality,Male,Medium,60,22,11,Low,Low,6,Yes
Hospitality,Male,Medium,76,82,38,Low,Low,12,No
Banking,Male,Small,44,57,24,Low,Low,8,Yes
Banking,Female,Small,12,57,21,Medium,Low,6,Yes
Health Care,Male,Medium,19,31,1,High,High,7,Yes
Banking,Male,Medium,58,37,10,High,Low,8,No
Hospitality,Male,Large,208,34,13,High,High,10,Yes
Banking,Female,Medium,54,24,8,High,Medium,4,Yes
Banking,Male,Small,18,24,10,Medium,Medium,6,Yes
Banking,Male,Small,14,44,22,Low,Low,3,Yes
Banking,Male,Medium,83,82,32,Medium,Medium,25,Yes
Health Care,Male,Medium,18,14,2,High,Low,2,No
Banking,Female,Small,16,43,18,Medium,Medium,2,Yes
Health Care,Male,Small,34,15,6,Medium,High,3,Yes
Hospitality,Male,Small,17,98,44,Low,Medium,21,No
Hospitality,Male,Small,18,31,14,Medium,High,9,Yes
Hospitality,Female,Medium,20,38,11,Medium,High,5,Yes
Hospitality,Male,Large,210,75,24,Medium,High,21,Yes
Health Care,Male,Medium,19,77,12,High,Low,19,Yes
Banking,Male,Large,197,31,11,Low,High,5,No
Hospitality,Male,Small,21,30,6,High,Medium,7,Yes
Health Care,Male,Medium,71,59,26,Low,High,19,Yes
Health Care,Female,Medium,112,60,16,High,Medium,4,Yes
Health Care,Male,Medium,39,28,12,Medium,Medium,5,Yes
Hospitality,Male,Medium,63,67,12,High,High,13,Yes
Health Care,Female,Large,49,51,23,Low,Low,10,Yes
Hospitality,Male,Medium,31,25,3,High,Medium,1,Yes
Hospitality,Male,Small,32,62,11,High,Low,1,Yes
Banking,Male,Medium,77,57,26,Low,Low,15,Yes
Hospitality,Male,Large,90,29,13,Low,High,1,Yes
Banking,Male,Large,31,87,31,Medium,Low,21,Yes
Banking,Female,Medium,27,15,8,Low,High,3,Yes
Health Care,Female,Medium,80,111,48,Low,Medium,8,Yes
Banking,Male,Medium,24,29,10,High,Medium,7,Yes
Banking,Male,Large,58,37,13,Low,Low,5,Yes
Banking,Male,Large,60,55,10,High,Low,1,No
Health Care,Male,Large,40,33,9,High,High,2,Yes
Hospitality,Male,Medium,29,30,8,High,High,8,Yes
Hospitality,Male,Small,54,26,9,Low,Low,5,Yes
Health Care,Female,Large,148,27,6,Medium,Low,5,Yes
Health Care,Female,Medium,43,22,8,Medium,Low,1,Yes
Banking,Male,Large,100,30,11,Medium,Low,4,No
Health Care,Male,Small,31,45,12,Medium,High,6,Yes
Health Care,Male,Medium,17,38,7,High,High,1,No
Hospitality,Female,Small,41,10,0,High,Medium,1,No
Banking,Male,Large,384,26,5,Low,High,6,No
Health Care,Male,Small,18,30,14,Medium,Low,7,Yes
Hospitality,Male,Medium,146,14,5,Medium,Medium,3,No
Banking,Female,Small,164,25,9,High,High,4,Yes
Hospitality,Female,Small,15,46,10,High,Low,13,Yes
Banking,Male,Medium,100,60,18,Medium,Medium,17,Yes
Banking,Female,Small,40,18,3,Medium,Medium,4,No
Health Care,Male,Medium,36,25,6,Medium,Medium,4,No
Banking,Male,Large,56,58,18,Medium,Medium,15,Yes
Hospitality,Female,Large,92,93,37,Low,Medium,25,Yes
Hospitality,Female,Small,58,38,8,High,Medium,4,Yes
Banking,Male,Large,32,47,14,Medium,Low,13,Yes
Health Care,Male,Medium,40,29,9,High,Low,6,Yes
Banking,Female,Large,95,15,6,Medium,Medium,3,Yes
Banking,Female,Large,31,33,7,High,Low,10,Yes
Banking,Female,Small,66,50,13,High,High,5,No
Banking,Male,Medium,114,39,10,Medium,High,3,Yes
Banking,Female,Medium,46,9,0,High,Low,1,Yes
Health Care,Female,Large,37,81,28,Medium,High,17,Yes
Health Care,Male,Medium,103,63,28,Low,Medium,17,No
Banking,Female,Medium,68,33,14,Low,Low,1,No
Hospitality,Male,Medium,16,39,21,Low,Medium,9,No
Health Care,Male,Large,84,14,8,Low,Medium,2,Yes
Health Care,Male,Large,37,36,12,High,Low,9,Yes
Hospitality,Male,Medium,20,65,21,Medium,Low,20,Yes
Banking,Male,Large,43,35,16,Low,Low,3,Yes
Banking,Female,Large,61,42,7,High,Low,4,Yes
Health Care,Male,Large,160,59,12,High,Low,13,Yes
Health Care,Male,Small,12,44,16,Medium,Medium,11,No
Banking,Female,Small,41,35,13,Low,Low,5,No
Hospitality,Male,Small,95,52,21,Low,Low,16,Yes
Health Care,Male,Medium,48,125,45,Medium,Low,21,Yes
Health Care,Male,Small,54,22,3,High,High,5,Yes
Health Care,Male,Medium,91,28,15,Low,Medium,1,Yes
Health Care,Male,Medium,56,24,7,Medium,Medium,6,No
Hospitality,Female,Medium,50,39,9,High,Medium,11,Yes
Hospitality,Male,Medium,16,32,11,Medium,High,2,Yes
Hospitality,Female,Small,30,29,9,Medium,Medium,1,Yes
Banking,Male,Large,69,16,4,High,Low,3,Yes
Hospitality,Male,Large,76,26,3,High,Low,1,Yes
Health Care,Male,Medium,34,37,4,Medium,Low,11,Yes
Banking,Male,Large,178,66,12,High,Medium,2,Yes
Health Care,Male,Small,66,48,15,Medium,Low,11,Yes
Hospitality,Male,Large,38,14,4,High,Low,3,Yes
Health Care,Male,Small,31,73,24,High,Medium,25,Yes
Banking,Male,Medium,119,28,8,Medium,Medium,7,No
Banking,Male,Small,34,13,2,Medium,High,1,Yes
Hospitality,Male,Medium,68,49,18,Medium,Medium,12,Yes
Banking,Male,Small,23,22,6,High,High,5,Yes
Health Care,Female,Medium,30,34,9,High,High,8,Yes
Health Care,Male,Medium,28,72,31,Low,High,25,Yes
Banking,Male,Large,31,38,3,High,High,6,Yes
Hospitality,Male,Medium,99,54,14,High,Low,14,No
Hospitality,Male,Small,22,29,7,High,High,3,No
Hospitality,Female,Medium,30,85,16,High,Low,11,Yes
Health Care,Male,Large,119,17,9,Low,High,1,Yes
Health Care,Male,Medium,39,55,21,Medium,Medium,18,Yes
Health Care,Female,Medium,30,112,29,High,Low,2,Yes
Health Care,Male,Medium,85,15,2,High,High,3,No
Hospitality,Male,Medium,72,94,42,Low,Low,25,Yes
Health Care,Male,Small,106,14,2,Medium,High,2,Yes
Health Care,Male,Medium,48,30,3,High,Medium,3,Yes
Health Care,Female,Small,41,34,8,High,Low,7,No
Health Care,Female,Small,21,96,29,Medium,Medium,25,Yes
Banking,Male,Small,14,51,22,Low,Low,10,No
Health Care,Female,Small,14,12,2,High,High,1,Yes
Banking,Male,Small,37,53,10,High,High,12,Yes
Hospitality,Male,Large,37,23,11,High,High,5,Yes
Hospitality,Female,Medium,92,72,16,High,High,25,No
Health Care,Male,Large,106,28,10,Medium,Low,8,No
Health Care,Male,Small,18,26,5,High,Medium,7,Yes
Health Care,Male,Small,20,42,13,High,Low,7,Yes
Health Care,Male,Large,107,102,34,Medium,Medium,9,Yes
Hospitality,Male,Medium,72,51,8,High,Low,11,Yes
Health Care,Male,Small,57,27,7,High,Medium,1,Yes
Hospitality,Male,Medium,45,34,3,High,Medium,2,Yes
Hospitality,Male,Medium,21,47,13,Medium,Low,3,No
Banking,Female,Large,136,26,7,Medium,Low,6,Yes
Health Care,Female,Small,51,28,8,Medium,Low,3,Yes
Health Care,Male,Medium,74,15,5,Low,High,2,Yes
Hospitality,Female,Large,40,70,23,Medium,Low,21,Yes
Banking,Male,Large,102,13,4,Medium,Low,1,Yes
Health Care,Male,Large,231,65,27,Low,High,23,No
Banking,Male,Small,19,58,15,High,Low,20,No
Health Care,Male,Medium,56,88,28,Medium,Medium,10,No
Health Care,Male,Large,48,9,0,Medium,High,1,Yes
Hospitality,Male,Large,52,32,7,Medium,Medium,3,Yes
Banking,Male,Large,71,102,44,Low,Medium,25,Yes
Health Care,Male,Large,170,62,18,High,Low,19,Yes
Health Care,Female,Small,12,87,30,Medium,Low,25,Yes
Hospitality,Male,Small,126,75,24,Medium,Medium,25,Yes
Health Care,Female,Large,122,20,6,Medium,Low,1,Yes
Banking,Female,Small,23,65,19,Medium,High,7,Yes
Hospitality,Male,Small,22,45,10,Medium,Medium,15,Yes
Health Care,Male,Medium,37,21,6,Low,Medium,4,Yes
Health Care,Male,Large,160,21,6,Low,Low,5,Yes
Banking,Female,Small,12,24,15,Medium,High,3,No
Health Care,Male,Medium,41,31,13,High,Medium,1,Yes
Hospitality,Male,Small,13,65,28,Medium,Medium,1,Yes
Hospitality,Male,Small,15,12,1,Low,Medium,1,No
Banking,Male,Medium,53,22,15,Low,Medium,6,Yes
Health Care,Female,Small,18,29,5,High,Medium,8,No
Banking,Male,Large,32,66,28,Medium,Medium,3,Yes
Banking,Female,Large,41,47,22,Low,Medium,14,Yes
Banking,Male,Large,44,56,11,High,Low,18,Yes
Health Care,Male,Small,48,31,18,Low,Low,2,Yes
Health Care,Female,Medium,47,11,8,Medium,Low,1,No
Health Care,Male,Small,45,23,4,Medium,Low,4,Yes
Banking,Female,Small,23,34,9,High,Low,10,Yes
Hospitality,Male,Medium,19,76,28,Low,High,6,Yes
Hospitality,Male,Large,132,27,8,Medium,Medium,6,No
Health Care,Male,Small,15,16,2,High,High,2,Yes
Health Care,Female,Small,24,32,9,Medium,Low,4,Yes
Banking,Female,Large,49,69,28,Medium,Medium,25,Yes
Health Care,Male,Medium,27,32,7,Medium,High,4,Yes
Banking,Male,Large,87,36,15,Low,Medium,8,Yes
Hospitality,Male,Large,41,12,6,Medium,Medium,1,No
Banking,Male,Medium,34,19,0,High,Medium,1,Yes
Banking,Female,Small,37,122,40,Medium,Medium,5,Yes
Hospitality,Male,Large,156,54,22,Medium,High,8,Yes
Hospitality,Female,Small,23,71,28,Medium,Medium,4,Yes
Hospitality,Male,Small,21,51,16,Medium,High,2,Yes
Health Care,Female,Large,58,60,23,Medium,High,11,Yes
Hospitality,Male,Medium,38,18,12,Low,Medium,2,Yes
Banking,Male,Small,21,49,15,Medium,Low,9,Yes
Health Care,Female,Medium,24,76,28,Medium,Low,25,Yes
Banking,Male,Large,59,30,6,High,Low,6,No
Hospitality,Female,Small,49,42,10,Medium,Low,2,Yes
Health Care,Female,Small,19,47,16,Medium,Medium,15,Yes
Banking,Male,Small,58,27,11,Low,Low,6,No
Banking,Male,Medium,26,99,41,Low,Medium,21,Yes
Hospitality,Male,Large,87,52,17,Medium,Low,11,Yes
Health Care,Male,Medium,130,20,4,High,Medium,5,Yes
Hospitality,Male,Medium,114,28,10,Medium,Low,8,No
Health Care,Male,Small,26,24,11,Medium,High,2,Yes
Hospitality,Male,Small,13,41,13,High,High,4,Yes
Banking,Male,Small,70,50,22,Low,Medium,8,Yes
Hospitality,Male,Small,15,35,7,High,High,8,Yes
Health Care,Male,Small,76,31,11,High,Low,8,No
Banking,Male,Medium,58,57,13,High,High,11,Yes
Banking,Male,Small,80,52,11,High,Medium,1,Yes
Banking,Male,Large,98,18,5,High,Low,1,Yes
Hospitality,Male,Large,362,14,0,Medium,Low,2,No
Health Care,Male,Medium,36,53,17,Medium,Low,13,Yes
Banking,Male,Small,21,10,1,Medium,High,1,Yes
Hospitality,Female,Large,61,28,10,Low,Medium,3,No
Banking,Male,Large,56,17,5,High,Low,3,Yes
Health Care,Male,Small,24,40,21,Low,Medium,9,No
Banking,Female,Medium,85,34,13,High,Low,5,Yes
Hospitality,Female,Large,86,20,3,High,Low,2,No
Health Care,Male,Medium,57,45,10,High,High,5,Yes
Health Care,Male,Small,20,39,11,Medium,Medium,10,No
Hospitality,Male,Medium,164,42,12,High,Medium,13,No
Hospitality,Male,Medium,26,21,1,Medium,High,2,Yes
Hospitality,Female,Medium,21,84,19,High,Medium,11,No
Banking,Male,Large,124,41,15,Medium,Low,1,Yes
Banking,Female,Large,144,40,8,High,Low,11,Yes
Hospitality,Male,Small,24,33,13,Low,Medium,9,Yes
Banking,Female,Medium,40,31,13,Medium,Medium,6,Yes
Banking,Male,Medium,32,27,9,Medium,Low,2,Yes
Hospitality,Male,Small,20,76,22,High,Medium,12,Yes
Health Care,Male,Medium,70,23,10,High,High,1,Yes
Hospitality,Male,Large,118,81,38,Low,Medium,19,Yes
Banking,Male,Medium,37,54,23,Low,High,12,No
Banking,Female,Small,27,36,17,Medium,Low,11,No
Health Care,Male,Small,16,70,16,Medium,Low,12,Yes
Banking,Female,Medium,48,12,0,Medium,High,1,No
Banking,Male,Medium,99,76,28,Medium,Low,25,No
Hospitality,Male,Medium,56,74,25,High,Low,16,Yes
Hospitality,Female,Medium,38,80,30,Medium,Low,6,Yes
Hospitality,Male,Small,12,40,10,High,High,11,Yes
Banking,Male,Small,78,41,17,Low,Low,11,Yes
Banking,Male,Medium,27,54,20,Medium,Low,15,Yes
Health Care,Male,Small,20,24,11,Medium,Low,3,Yes
Banking,Female,Large,69,37,18,Low,High,4,Yes
Health Care,Male,Small,26,64,22,Medium,Medium,13,Yes
Health Care,Male,Medium,122,107,40,Medium,Low,12,Yes
Hospitality,Female,Medium,21,46,21,Low,High,6,No
Banking,Male,Medium,53,24,9,Medium,High,5,Yes
Banking,Male,Large,37,76,29,Medium,Medium,25,No
Hospitality,Female,Medium,26,33,12,Low,Low,5,Yes
Health Care,Male,Large,110,54,18,Medium,Medium,12,Yes
Health Care,Female,Medium,68,20,7,Medium,High,5,No
Banking,Male,Medium,36,20,5,Low,Low,3,Yes
Banking,Female,Large,127,32,11,Low,Low,9,Yes
Health Care,Female,Medium,104,52,16,Medium,Low,14,No
Health Care,Male,Medium,104,72,21,High,Medium,25,Yes
Health Care,Male,Large,56,25,5,High,Medium,2,Yes
Banking,Male,Large,53,58,26,Low,Low,17,Yes
Hospitality,Male,Medium,57,29,13,Low,Low,6,No
Health Care,Male,Medium,50,25,13,Low,High,1,Yes
Health Care,Male,Small,24,47,17,Medium,High,13,Yes
Hospitality,Male,Medium,24,24,8,Medium,High,4,No
Banking,Female,Medium,46,65,22,Medium,High,17,Yes
Hospitality,Male,Large,65,12,6,High,Medium,2,No
Banking,Male,Medium,20,40,8,High,Low,10,Yes
Hospitality,Male,Large,93,17,8,High,Medium,3,Yes
Health Care,Male,Small,41,15,5,Low,Medium,3,Yes
Hospitality,Male,Medium,30,10,3,Low,Medium,1,Yes
Health Care,Male,Large,141,24,12,Low,Medium,6,Yes
Banking,Female,Small,13,25,18,Low,High,4,Yes
Health Care,Female,Small,29,22,0,High,Low,1,Yes
Health Care,Male,Medium,117,38,15,Medium,Low,3,Yes
Banking,Male,Medium,22,36,14,Medium,Medium,6,No
Banking,Male,Medium,21,53,17,Medium,High,14,Yes
Hospitality,Male,Medium,31,62,28,Low,High,22,Yes
Banking,Male,Medium,25,27,8,Low,Medium,6,Yes
Health Care,Male,Small,18,37,10,Medium,Low,5,Yes
Health Care,Male,Large,217,74,27,Medium,Medium,25,No
Hospitality,Female,Small,22,83,17,High,High,25,No
Banking,Male,Medium,17,25,9,Medium,Medium,2,No
Hospitality,Male,Medium,90,29,8,Medium,High,7,No
Health Care,Male,Large,67,54,22,Low,Low,14,No
Banking,Female,Large,113,43,13,High,Low,14,Yes
Hospitality,Female,Large,58,51,19,Low,Medium,10,Yes
Hospitality,Male,Medium,104,22,5,High,High,6,Yes
Hospitality,Male,Small,20,20,8,Medium,High,5,Yes
Banking,Male,Small,39,72,33,Low,High,14,Yes
Health Care,Male,Large,138,27,7,Medium,Medium,3,Yes
Banking,Male,Large,46,22,6,High,Medium,5,Yes
Banking,Male,Large,131,38,10,Medium,High,7,Yes
Health Care,Male,Small,51,51,21,Low,Low,15,Yes
Health Care,Male,Medium,123,21,14,Low,High,4,Yes
Banking,Male,Medium,98,49,19,Medium,Medium,7,No
Banking,Female,Medium,31,24,10,Low,High,3,Yes
Banking,Male,Medium,44,49,13,High,High,15,Yes
Banking,Male,Large,192,82,18,High,Low,13,Yes
Banking,Male,Medium,15,44,11,High,Low,14,No
Banking,Male,Small,36,11,3,Low,Medium,1,No
Hospitality,Male,Small,18,23,6,Medium,Low,6,No
Health Care,Male,Small,45,13,5,Low,Medium,2,Yes
Hospitality,Male,Medium,67,33,9,Medium,Medium,9,Yes
Health Care,Male,Small,43,32,8,High,Medium,3,No
Banking,Male,Small,150,53,19,Medium,Low,12,Yes
Health Care,Male,Medium,36,31,6,High,High,1,Yes
Health Care,Male,Large,81,34,0,High,Medium,6,Yes
Health Care,Male,Large,62,22,7,Low,High,2,No
Health Care,Male,Small,103,32,7,Medium,Low,7,Yes
Health Care,Male,Small,76,58,27,Low,High,8,No
Hospitality,Male,Small,119,25,6,Medium,Low,5,Yes
Banking,Male,Large,292,47,19,Low,Medium,3,No
Hospitality,Female,Medium,88,14,6,High,Medium,1,Yes
Health Care,Female,Small,78,32,8,Medium,High,9,Yes
Health Care,Male,Large,37,53,13,High,Low,17,Yes
Hospitality,Female,Medium,21,44,9,High,Low,11,Yes
Banking,Male,Large,165,91,21,High,High,18,Yes
Hospitality,Female,Small,44,64,12,High,Low,22,No
Health Care,Male,Medium,83,32,9,Medium,Low,5,Yes
Hospitality,Male,Medium,63,35,10,High,Medium,10,Yes
Hospitality,Male,Large,39,36,9,Medium,Low,5,Yes
Banking,Male,Large,185,68,21,Medium,Low,21,No
Hospitality,Male,Medium,63,44,26,Low,Medium,7,No
Health Care,Female,Small,33,66,30,Low,Low,12,Yes
Hospitality,Male,Medium,40,15,4,High,Medium,1,No
Health Care,Male,Large,83,66,21,Medium,Medium,7,Yes
Hospitality,Female,Medium,31,43,18,Medium,High,11,Yes
Hospitality,Male,Large,131,55,28,Low,High,3,Yes
Banking,Male,Medium,93,13,4,Low,Low,1,No
Health Care,Male,Medium,25,68,33,Low,High,11,Yes
Hospitality,Male,Medium,16,23,12,Medium,High,4,Yes
Hospitality,Male,Medium,22,40,3,High,High,5,Yes
Hospitality,Male,Large,118,76,29,Medium,High,7,Yes
Health Care,Male,Medium,81,45,13,Medium,Low,1,No
Banking,Male,Medium,29,18,10,Medium,High,1,Yes
Health Care,Female,Medium,20,75,23,Medium,Medium,25,Yes
Banking,Male,Small,60,31,9,High,Low,4,No
Hospitality,Male,Large,45,32,5,Medium,High,3,Yes
Banking,Male,Small,18,21,10,Medium,Medium,1,No
Banking,Male,Large,36,40,14,Medium,Low,2,No
Hospitality,Male,Medium,93,20,8,High,Low,5,Yes
Banking,Male,Large,54,30,8,Medium,High,4,Yes
Hospitality,Male,Large,41,30,14,Low,High,5,Yes
Health Care,Male,Medium,115,32,18,Low,Medium,10,Yes
Banking,Male,Large,55,29,7,High,Medium,9,No
Health Care,Male,Small,46,35,10,High,Low,6,Yes
Hospitality,Male,Medium,24,43,21,Low,Medium,14,No
Hospitality,Male,Large,111,68,12,High,High,16,No
Banking,Male,Small,18,71,23,Medium,High,8,Yes
Banking,Male,Large,93,14,8,Medium,Medium,2,No
Banking,Female,Large,66,43,13,Low,High,5,No
Banking,Male,Large,130,42,13,High,High,9,No
Banking,Female,Small,44,18,6,Low,Low,1,Yes
Hospitality,Female,Medium,104,25,12,High,Medium,1,Yes
Health Care,Male,Small,23,91,42,Low,Low,24,Yes
Health Care,Male,Large,117,87,19,High,Medium,11,No
Health Care,Male,Medium,128,28,15,Low,High,2,Yes
Banking,Male,Medium,28,40,22,Low,Low,5,Yes
Banking,Male,Medium,26,26,13,Low,High,2,Yes
Banking,Male,Small,48,21,8,Low,Medium,1,Yes
Banking,Male,Small,26,18,10,Medium,High,4,Yes
Hospitality,Male,Small,24,32,8,Medium,Low,9,No
Hospitality,Female,Medium,41,76,22,High,Low,25,No
Hospitality,Male,Large,201,52,10,Medium,Medium,12,Yes
Hospitality,Female,Small,14,15,5,Medium,High,3,Yes
Health Care,Female,Small,27,28,10,Low,High,4,Yes
Health Care,Female,Medium,19,22,3,Medium,High,6,No
Banking,Female,Large,164,33,18,Low,Low,2,No
Health Care,Male,Small,15,60,8,High,Low,15,No
Health Care,Male,Small,14,23,12,Medium,High,2,Yes
Banking,Male,Small,94,27,2,High,Low,3,Yes
Hospitality,Male,Medium,42,64,25,Medium,High,7,Yes
Hospitality,Female,Small,55,47,9,High,Medium,2,No
Health Care,Female,Medium,36,50,16,Low,Medium,8,Yes
Health Care,Male,Large,65,73,31,Low,Medium,24,Yes
Banking,Male,Medium,94,33,13,Medium,High,10,No
Hospitality,Male,Small,126,47,9,High,High,14,No
Hospitality,Male,Medium,46,40,14,Medium,High,5,Yes
Hospitality,Male,Medium,96,31,16,Low,Medium,4,No
Banking,Male,Large,154,35,16,Medium,Low,4,Yes
Health Care,Female,Small,31,31,7,High,High,9,Yes
Health Care,Male,Large,206,24,14,Low,Low,6,Yes
Health Care,Female,Large,44,38,19,Low,Medium,6,No
Health Care,Male,Small,66,16,3,High,Low,1,Yes
Health Care,Female,Large,53,36,12,High,Medium,9,Yes
Hospitality,Male,Medium,16,41,12,High,Low,11,Yes
Hospitality,Female,Medium,65,35,8,High,High,2,No
Banking,Male,Small,78,55,26,Low,High,12,Yes
Health Care,Male,Small,18,51,18,Medium,Medium,17,No
Banking,Male,Medium,40,18,6,High,Low,2,No
Health Care,Female,Small,46,36,14,High,Medium,5,Yes
Banking,Male,Medium,28,105,23,High,Medium,17,No
Banking,Male,Medium,20,58,15,High,High,6,Yes
Banking,Male,Medium,31,46,16,Medium,Low,14,No
Banking,Male,Medium,35,13,8,Low,Low,2,Yes
Health Care,Female,Small,45,22,6,Medium,High,1,Yes
Health Care,Male,Medium,22,17,2,High,High,1,Yes
Hospitality,Male,Medium,70,72,32,Low,Medium,25,Yes
Banking,Female,Medium,38,27,8,High,Low,2,Yes
Banking,Female,Small,70,52,22,Low,Low,17,Yes
Banking,Female,Small,32,23,2,Low,Low,4,Yes
Banking,Male,Small,26,33,8,Medium,Low,1,Yes
Health Care,Male,Large,51,31,11,High,High,3,No
Banking,Male,Medium,19,36,17,Medium,Low,6,Yes
Hospitality,Male,Small,23,49,10,High,Medium,1,No
Banking,Male,Small,25,61,26,Medium,High,21,Yes
Banking,Male,Small,32,72,31,Low,Low,19,Yes
Hospitality,Male,Medium,79,13,1,Low,High,2,Yes
Hospitality,Male,Small,27,36,8,High,High,11,Yes
Banking,Female,Medium,27,30,12,Medium,Low,5,Yes
Banking,Male,Medium,82,69,15,High,High,25,No
Hospitality,Male,Large,112,19,8,Medium,Medium,1,Yes
Banking,Female,Small,21,22,8,Medium,Medium,6,Yes
Banking,Male,Medium,21,28,8,Medium,High,3,No
Health Care,Male,Large,51,40,20,Low,High,11,Yes
Hospitality,Female,Medium,19,10,7,Medium,Medium,1,Yes
Hospitality,Female,Large,176,49,17,Medium,Low,8,Yes
Hospitality,Male,Medium,46,74,20,High,Low,24,Yes
Hospitality,Male,Medium,80,28,8,Low,High,5,Yes
Hospitality,Male,Medium,71,26,13,Medium,High,5,No
Health Care,Male,Large,40,23,8,Low,Low,6,Yes
Health Care,Male,Medium,34,28,7,Medium,Low,5,Yes
Banking,Male,Large,253,35,14,Medium,High,5,Yes
Hospitality,Male,Small,18,54,12,High,Medium,5,Yes
Hospitality,Male,Medium,17,91,20,High,Low,25,Yes
Health Care,Male,Large,56,10,1,High,Low,1,Yes
Hospitality,Male,Small,29,17,2,Medium,Low,3,No
Hospitality,Male,Large,33,12,3,Low,High,2,No
Banking,Male,Small,25,26,14,Low,High,7,Yes
Hospitality,Male,Large,48,19,12,Low,Low,1,Yes
Banking,Male,Medium,23,63,22,Medium,High,21,No
Hospitality,Male,Small,19,40,11,Medium,Low,7,No
Banking,Male,Large,36,54,14,High,High,19,Yes
Health Care,Male,Small,13,46,5,High,Low,4,Yes
Banking,Male,Small,34,28,13,Medium,High,2,Yes
Hospitality,Male,Small,85,64,15,High,Medium,2,Yes
Health Care,Male,Medium,68,67,13,High,Low,6,Yes
Banking,Female,Large,142,27,16,Low,High,1,No
Hospitality,Male,Small,45,42,10,High,Low,13,Yes
Hospitality,Male,Medium,117,43,18,Low,High,13,Yes
Banking,Male,Small,87,36,15,High,Low,10,Yes
Health Care,Male,Large,124,62,20,Medium,Low,19,Yes
Banking,Female,Small,43,37,15,Medium,High,7,Yes
